,clean_fin_review
0,comfortable shoe short life switch local brand nike use spend time money asian right use shoe excercise great comfort nike cushion nike.review update definitely comfortable two month thread come two place right shoe don't.think shoe survive longer.so review grade star star.meanwhile buy two pair shoe family member drag model price rupee let's see perform
1,not comfortable injure due hard mesh
2,different shoe receive received shoe different one order cannot return need wear next day family function extremely disappointed
3,receive used product receive used product return
4,size size short
5,buy cheap shoe
6,damege product damage product
7,disappointing angry_faceangry_face thumbs_downthumbs_down totally duplicate product.not original sparx.don't buy shoe thumbs_downthumbs_downthumbs_down
8,value money finish joint not mark
9,copy product not good copy product
10,buy shoe shoe bite happening could not walk lot pain throw away dust bin time use buy
13,not good nothing good
14,not good not good expect
15,third class shoe third class product buy noisy uncomfirtable
16,"material quality low 



 sole damage use fifth time"
18,cheap quality shoe look good quality poor buy regular use
19,direct kalar direct saej
20,use product product old quality not good
21,poor quality poor quality purchase
23,refund money size small
24,quality wise not good not orginal sparx copy copynot orginal sparx product
25,small small low quality
26,product entire different original product product different original image
28,make foam.it hardly cost around bad
29,bad quality axcpect sparx shose like type amazon bad quality bad quality please return product
30,low quality quality product low
33,get old use peice not size product not new condition
34,sorry not comfort
35,product not good product not good
36,vaste money bad product vaste money
37,costly not worth money
38,not good finally don’t like
39,bad quality useless...base material shoe plastic painful leg bad thing walk nd also run sooo dont buy guyz
40,dublicate product not good sole not sponge make plastic
41,receive product bad defective product receive bad defective productwhy not properly check team send product customer
42,"less time sole damage 



 i think asian shoe good change perception.kindly arrangement change asap"
43,wrong size one ther
44,torn month buy shoe october believe already get torn..worst product..utterly mahine bhi nahi chala ye joota disgust
45,horrible experience first order bit small order time row one size big mean unfortunately every time come please take note that.thank
47,bhrust product bad product bekar waste money bad product month use crack front side brand product life bhrust product faltu bekar
48,size small order size shoe receive say assure not also shape shoe not look greatfelt like rip-off not give option exchange big size return product
49,soo bad work poor delay delay work amazon app.l not happy app waste time money poorly understood hoooo
50,manufacture defect manufacturing defect fornt shoe receive product light weight good
51,bakwas bad product
53,low quality inner sole uncomfortable
54,want exchange item colour not match order gary size also problem want size deliver size want return provide accurate size colour
55,size shoe varies look good wear shoe size varies right leg not comfortable leave leg im feeling frustrate buy please give customer perfect pair buying please think twice guy
56,size not fit size issue
57,not good not good product
59,tear less month
60,buy bad product ever
61,pathetic shoe dont buy
62,bad product bad product
63,duplicate duplicate productplease don’t buy
64,uncomfortable poor fit tight look short uncomfortable use wastage money
66,bad product really bad product.....it good week use running...but start get torn front shoes....i not recommend buy
67,size inappropriate buy product return product...the product not see image buy grey/orange colour.i get product different see ad bottom white layer absent instead grey layer..(returned due size mismatch not interested take high size
68,return poor experience sparx yet shoe pretty good look fit proper wore second one notice shoe tongue not properly stitch amazon india seriously need pre delivery inspection every order time consume excitement get something new go waste something like happen can't ignore return logistics cost go amazon's pocket due lazy worker not pay enough attention quality check inventory management get refund next day though time consumption part annoy
69,not like product share experience use product months.my experience bad product.the quality shoe not good.i expect good product sparx bad experience..i never buy sparx product future.shame sparx.my money waste months.i expect shoe last least year happen.please amazon not sell product feel bad product shame sparx....crying_face
70,average buy material shoe hard not durable
71,not run shoe shoe heel much hard
72,bad product bad product
73,not satisfied quality lot scratch come smasheda lot dust shoe dirtyi not satisfied qualityit scratch air capsule sidegum everywhere shoe angry_face_with_horns
74,poor quality product poor build quality tong shoe break first use wait return pickup.size small
75,bad fit not comfortable buy waste money waste money buy not comfortable
76,waste money absolute waste money poor quality sole break within month usage beyuond repair not expect liberty
77,product difactive product difactive
78,shoe tite unfit product good
79,bladdyfull item another colour brand
80,"shoe 



 to bad shoe amazon company bad"
81,bad quality bad quality
82,waste money product good i'm not comfortable product waste money
