,clean_fin_review
4994,good light weight shoe light used.not supportive hard core sport people's sport shoe good worth buy
4995,good model look good far poor closer look look good comfortable boy finish cheap notice closer look dual color sole paint not make different colored material
4996,not great quality product product not good quality buying shoe consider user size usage outer sole insole toe protection tongue lace closure whether revets not buy kid may go buy adult planning use long term reconsider decision
4998,good ok..good...good looking..back side bottom large
4999,price ok buy ordered red receive blue stiches near lace not well finish yh price guess worth look good
5000,"weast money poor shole quelity one month sole tottsly damage try another compny,,dont buy"
5001,color different photo color different photo
5002,ok ok not last one month wear regularly
5003,best quality price high quality best price high
5004,nice pair shoe somewhat big return somewhat big
5007,ok shoe compare price ok shoe
5008,need improvement not long lastingbut comfortable
5009,average shoe average consider price tag fit good comfort average material not good.you consider buy shoe weightless light weight
5010,well shoe quality good sole plastic
5011,not mark indian brand actually want compete adidas scratcher concentrate comfort well durability shoe last month comfort also not mark bubble last day not recommend
5012,size issue size specify large expect
5013,good month sole worn quickly
5014,good shoe however bit congested people wider foot good shoe however bit congested people wider foot
5016,not mark get different model quality good per cost.but small disappointment...i.e...we order one model get little different model atleast guy inform model order not available order accord
5019,not comfortable inside pad
5020,overall good nd value money miner manufacturing defect find not return product
5021,addition look wise shoe sideways great look comfortable easy run work
5022,ok shoe ok....not good two month sol completely go groove design worn already
5023,size confuse size actually son requirs size finaly choose size fit exact
5024,value money...looks best good product average quality awesome fit
5025,not comfortable option price range somehow look feel plastic fit comfort isn’t best know another brand similar price range well couldn’t find size time round try trase it’s ok not something may consider next time
5026,ordered son receive size keep superb price everything perfect ordered year old son receive size good keep less star show product wrong category also deliver product wrong generation
5027,look good average quality pro look nicevery good gripvery comfortable light weightreally light weightcons bad build qualitycolour fadesnot waterproofcan use month think
5028,three star ok not good ok price
5029,not belive product want xl size small size
5030,average shoe look not good not comfort
5031,"good running shoe 



 very comfortable light weight.good running shoe"
5032,reasonably good daily use insole use size inside shoe size gap toe end hurt foot also outer sole bulge toe end bothe shoe return defective item otherwise shoe reasonably good lightweight
5033,good design colour colour design good quality average
5034,product together fit well tongue one shoe not stitch come one use stitch back time return please check product send that's
5035,shoe quality poor per shoe quality wise poor mark shoe paste remove start time
5036,"good money 



 nice fitmedium comfortdamaged packaging rating packaging bad"
5037,accord price quality not good quality not good return product find well shoes price range
5038,good need improvement shoe good run walk shoe little big it’s size could better
5039,"not good sneaker black version look good.memory sole inside ok bottom part outside totally inflexible give queer feeling never experience shoes/sneakers walk please note cannot run wear due extreme hardness resembles soccer boot yesteryear rubber pad hard unlike sneaker walk even smooth hard surface quite noisy.lastly contrary claims,this not breathable pore upper outer cover hoax whole thing cover solid rubber mould inside.coming call iso rat company big disappointment.update intermittent use one half month:after repeat use inside become much comfy become value money however issue still remain firstly,hard outer sole though made rubber remain noisy hard surface even repeat use become hot inside not breathable.i revise rating star"
5040,not comfortable shoe lightweight expect not much comfortable tip shoe cut toe back bit tight around ankle go wear shoe i'd return
5041,slippery slipery careful walk slop area
5042,nice shoe good guality average
5043,not suitable not well cushion get flexed toe not comfortable run beyond avid marathoner not suitable run uk weight per shoe
5044,float puma like use run
5045,moderate like plastic think product good quality seem like make plastic lower bottom also not good not much high tho like design completely fit
5046,hood colour give different comfort good
5047,not much gud expect
5048,size similar size popcorn asian brand size issue asian brand size suitable particular product popcorn seem like size front finger overall fitting tight not comfertable
5049,order size not fit properly
5050,improve product good not satisfied
5051,shoe not great low quality
5052,value money like
5053,buy fit expect cushioning go shortly
5054,asian shoe work improve shoe quality weak spot shoes....both side shoe torn show picture
5055,slippery ofcourse spungy find slippery soil look fit good offline rate
5056,not excellent choice shoe bit small fit
5057,price ok ok
5058,good product excellent product quality not good
5059,"pack not good packing poor,but product good.package damage"
5061,not comfort plz improve comfort
5063,okk look cheap however price range it’s ok don’t compare brand shoe
5065,good product issue delivery boy
5066,loss not comfort time open many time way km bakwas feta bar bar khilata hai
5067,good quality shoe awesome quality shoe winter
5068,wirdth small accord size quality accord price width small
5070,large shoe best inside shoe spong not set correctly large
5071,item small item return
5072,slightly defect thumbs_upsmiling_face_with_smiling_eyes
5073,hight shoe shoes good highted shoe coushen good slightly wieghted suggest not use long run preparation physical exam
5074,good ok product
5075,quality quality not good inside sole remove time delivery
5076,ok quality poor
5077,improve shoe size little bit little bit improve shoe size
5078,not satisfied decent fit not comfortable brisk walk
5080,not amazon original packing sije small small size
5081,poor quality quality not mark
5082,not good heavy usage shoe best casual purpose heavy usage split sole
5083,good nice
5084,not bed quality not good
5085,run safely good comfortable
5086,good product good product
5087,average product buy son really like say comfortable look nice
5088,okay definitely love
5089,not setasfied much light comfortable love
5090,not suitable rainy season slip honestly say product good cannot wear rainy season slip good go shoe
5091,shoe ok not comfortable husband love shoe much buy another pair
5092,deliver time good shoe comfortable wear almost everyday wide foot size perfect
5093,ok product pro v.s conscomfortable easy ripgreat run vs bad workoutsfashionable don’t con
5094,good product price high purchase son pick happy look feel highly recommend good value price
5096,good product price high alright like many others show yes fall apart second pair fall apart far train show come havent comfortable pair training show feel light agile almost consider need buy like subscription really good pair training shoe wear last pair bad toe come throw bottom show
5097,size shoe doesnt match per standard size size shoe not per standard
5098,not great lookwise good delicate one hole lace part damage use use decide keep
5099,price shoe almost double local shop leave side shoe heavy right ok
5100,osm i'm buying first product bourge use start today product best good price normal highly less not good.smirking_face
5101,price good overall good lase quality poorand sponge little poor bourge shoe price ok
5102,good product good product light weight satisfactory comfortable price repees
5103,nyc shoe take size big appear goood product
5105,not finish properly correct size outer material not completely finish
5107,good normal
5108,good product deliver small cut shoe accept product good unselected colour deliver
5109,design not match difference design show actual product receive hence low rating
5111,good product value moneybut receive damage package not properly seal pack not expect amazon type packing
5112,shoe not smooth shoe not smooth per expectation
5115,value money accord price product quality good exactly show picture light weight
5116,three star average product
5117,three star good
5119,good good product
5120,three star good one price
5121,product quality bad can't use month not purchase footwear company footwear within footwear sole crack company service policy month
5122,ok buy quality not good ok
5123,heavy wait i'm not impressed heavy wait run shoe overall not value money i'm return item
5124,perfect fit okay grip overall great product although inner soul leave foot slip slide back heavy use
5125,ok ok shoe bdiya tha jo size ata usse ek chota bnaya company ne
5126,not enough suspension sport look good.base sole material not sufficient
5127,"average product 



 good look quality average bottom"
5128,sole not proper grip though shoe comfortable mesh well sole material good sole not proper grip slip smooth surface like vitrified floor tile etc also risky climb railway bridge hurry
5129,good product like style shoe fit properly expect
5130,not best bad shoe not bestsol weak rough product quality
5131,good shoe order black shoe receive white shoe time return shoe i'm travel couple day overall quality shoe good
5132,"not comfortable not comfortable walking.heels soft,so feel tired walking.toes also itch thumbs.lases short"
